TAXON_ORDER,CATEGORY,SPECIES_CODE,PRIMARY_COM_NAME,SCI_NAME,ORDER1,FAMILY,SPECIES_GROUP,REPORT_AS
4139.19,species,lesyel,Lesser Yellowlegs,Tringa flavipes,Charadriiformes,Scolopacidae (Sandpipers and Allies),,
4139.2,slash,y00476,Greater/Lesser Yellowlegs,Tringa melanoleuca/flavipes,Charadriiformes,Scolopacidae (Sandpipers and Allies),,
4139.21,species,marsan,Marsh Sandpiper,Tringa stagnatilis,Charadriiformes,Scolopacidae (Sandpipers and Allies),,
4139.22,species,woosan,Wood Sandpiper,Tringa glareola,Charadriiformes,Scolopacidae (Sandpipers and Allies),,
4139.23,species,comred1,Common Redshank,Tringa totanus,Charadriiformes,Scolopacidae (Sandpipers and Allies),,
4139.24,spuh,tringa1,Tringa sp.,Tringa sp.,Charadriiformes,Scolopacidae (Sandpipers and Allies),,
4139.3,spuh,scolop1,Scolopacidae sp.,Scolopacidae sp.,Charadriiformes,Scolopacidae (Sandpipers and Allies),,
4139.6,spuh,larsho1,large shorebird sp.,Scolopacidae sp. (large shorebird sp.),Charadriiformes,Scolopacidae (Sandpipers and Allies),,
4140,species,smabut2,Small Buttonquail,Turnix sylvaticus,Charadriiformes,Turnicidae (Buttonquail),,
4150,species,rebbut2,Red-backed Buttonquail,Turnix maculosus,Charadriiformes,Turnicidae (Buttonquail),,
4165,species,hotbut2,Hottentot Buttonquail,Turnix hottentottus,Charadriiformes,Turnicidae (Buttonquail),,
4166,issf,hotbut3,Hottentot Buttonquail (Black-rumped),Turnix hottentottus nanus,Charadriiformes,Turnicidae (Buttonquail),,hotbut2
4167,issf,hotbut1,Hottentot Buttonquail (Hottentot),Turnix hottentottus hottentottus,Charadriiformes,Turnicidae (Buttonquail),,hotbut2
4168,species,yelbut1,Yellow-legged Buttonquail,Turnix tanki,Charadriiformes,Turnicidae (Buttonquail),,
4171,species,spobut2,Spotted Buttonquail,Turnix ocellatus,Charadriiformes,Turnicidae (Buttonquail),,
4174,species,barbut1,Barred Buttonquail,Turnix suscitator,Charadriiformes,Turnicidae (Buttonquail),,
4193,species,madbut1,Madagascar Buttonquail,Turnix nigricollis,Charadriiformes,Turnicidae (Buttonquail),,
4194,species,blbbut2,Black-breasted Buttonquail,Turnix melanogaster,Charadriiformes,Turnicidae (Buttonquail),,
4195,species,chbbut2,Chestnut-backed Buttonquail,Turnix castanotus,Charadriiformes,Turnicidae (Buttonquail),,
4196,species,bubbut1,Buff-breasted Buttonquail,Turnix olivii,Charadriiformes,Turnicidae (Buttonquail),,
4197,species,paibut,Painted Buttonquail,Turnix varius,Charadriiformes,Turnicidae (Buttonquail),,
4197.1,issf,paibut1,Painted Buttonquail (New Caledonian),Turnix varius novaecaledoniae,Charadriiformes,Turnicidae (Buttonquail),,paibut
4197.2,issf,paibut2,Painted Buttonquail (Painted),Turnix varius varius/scintillans,Charadriiformes,Turnicidae (Buttonquail),,paibut
4201,species,luzbut1,Luzon Buttonquail,Turnix worcesteri,Charadriiformes,Turnicidae (Buttonquail),,
4202,species,sumbut1,Sumba Buttonquail,Turnix everetti,Charadriiformes,Turnicidae (Buttonquail),,
4203,species,recbut1,Red-chested Buttonquail,Turnix pyrrhothorax,Charadriiformes,Turnicidae (Buttonquail),,
4204,species,litbut1,Little Buttonquail,Turnix velox,Charadriiformes,Turnicidae (Buttonquail),,
4205,spuh,button1,buttonquail sp.,Turnix sp.,Charadriiformes,Turnicidae (Buttonquail),,
4206,species,quail-1,Quail-plover,Ortyxelos meiffrenii,Charadriiformes,Turnicidae (Buttonquail),,
4207,species,craplo1,Crab-Plover,Dromas ardeola,Charadriiformes,Dromadidae (Crab-Plover),,
4208,species,crccou1,Cream-colored Courser,Cursorius cursor,Charadriiformes,Glareolidae (Pratincoles and Coursers),,
4211.5,species,somcou1,Somali Courser,Cursorius somalensis,Charadriiformes,Glareolidae (Pratincoles and Coursers),,
4214,species,burcou2,Burchell's Courser,Cursorius rufus,Charadriiformes,Glareolidae (Pratincoles and Coursers),,
4215,species,temcou1,Temminck's Courser,Cursorius temminckii,Charadriiformes,Glareolidae (Pratincoles and Coursers),,
4216,species,indcou1,Indian Courser,Cursorius coromandelicus,Charadriiformes,Glareolidae (Pratincoles and Coursers),,
4217,species,dobcou2,Double-banded Courser,Smutsornis africanus,Charadriiformes,Glareolidae (Pratincoles and Coursers),,
4226,species,thbcou1,Three-banded Courser,Rhinoptilus cinctus,Charadriiformes,Glareolidae (Pratincoles and Coursers),,
4230,species,brwcou1,Bronze-winged Courser,Rhinoptilus chalcopterus,Charadriiformes,Glareolidae (Pratincoles and Coursers),,
4231,species,jercou1,Jerdon's Courser,Rhinoptilus bitorquatus,Charadriiformes,Glareolidae (Pratincoles and Coursers),,
4231.5,spuh,course1,courser sp.,Glareolidae sp. (courser sp.),Charadriiformes,Glareolidae (Pratincoles and Coursers),,
4232,species,auspra1,Australian Pratincole,Stiltia isabella,Charadriiformes,Glareolidae (Pratincoles and Coursers),,
4233,species,colpra,Collared Pratincole,Glareola pratincola,Charadriiformes,Glareolidae (Pratincoles and Coursers),,
4237,species,oripra,Oriental Pratincole,Glareola maldivarum,Charadriiformes,Glareolidae (Pratincoles and Coursers),,
4237.5,slash,y00775,Collared/Oriental Pratincole,Glareola pratincola/maldivarum,Charadriiformes,Glareolidae (Pratincoles and Coursers),,
4238,species,blwpra1,Black-winged Pratincole,Glareola nordmanni,Charadriiformes,Glareolidae (Pratincoles and Coursers),,
4238.5,slash,y00776,Collared/Black-winged Pratincole,Glareola pratincola/nordmanni,Charadriiformes,Glareolidae (Pratincoles and Coursers),,
4239,species,madpra1,Madagascar Pratincole,Glareola ocularis,Charadriiformes,Glareolidae (Pratincoles and Coursers),,
4240,species,rocpra1,Rock Pratincole,Glareola nuchalis,Charadriiformes,Glareolidae (Pratincoles and Coursers),,
4241,issf,rocpra2,Rock Pratincole (Rufous-naped),Glareola nuchalis liberiae,Charadriiformes,Glareolidae (Pratincoles and Coursers),,rocpra1
4242,issf,rocpra3,Rock Pratincole (White-naped),Glareola nuchalis nuchalis,Charadriiformes,Glareolidae (Pratincoles and Coursers),,rocpra1
4243,species,grypra1,Gray Pratincole,Glareola cinerea,Charadriiformes,Glareolidae (Pratincoles and Coursers),,
4244,species,smapra1,Small Pratincole,Glareola lactea,Charadriiformes,Glareolidae (Pratincoles and Coursers),,
4244.5,spuh,pratin1,pratincole sp.,Glareola sp.,Charadriiformes,Glareolidae (Pratincoles and Coursers),,
4262,spuh,shoreb1,shorebird sp.,Charadriiformes sp.,Charadriiformes,,,
4262.01,species,gresku1,Great Skua,Stercorarius skua,Charadriiformes,Stercorariidae (Skuas and Jaegers),Skuas and Jaegers,
4262.02,species,chisku1,Chilean Skua,Stercorarius chilensis,Charadriiformes,Stercorariidae (Skuas and Jaegers),,
4262.03,species,sopsku1,South Polar Skua,Stercorarius maccormicki,Charadriiformes,Stercorariidae (Skuas and Jaegers),,
4262.04,species,brnsku3,Brown Skua,Stercorarius antarcticus,Charadriiformes,Stercorariidae (Skuas and Jaegers),,
4262.05,issf,brnsku1,Brown Skua (Subantarctic),Stercorarius antarcticus lonnbergi,Charadriiformes,Stercorariidae (Skuas and Jaegers),,brnsku3
4262.06,issf,sousku1,Brown Skua (Falkland),Stercorarius antarcticus antarcticus,Charadriiformes,Stercorariidae (Skuas and Jaegers),,brnsku3
4262.07,issf,brnsku2,Brown Skua (Tristan),Stercorarius antarcticus hamiltoni,Charadriiformes,Stercorariidae (Skuas and Jaegers),,brnsku3
4262.08,spuh,skua,skua sp.,Stercorarius sp. (skua sp.),Charadriiformes,Stercorariidae (Skuas and Jaegers),,
4262.09,species,pomjae,Pomarine Jaeger,Stercorarius pomarinus,Charadriiformes,Stercorariidae (Skuas and Jaegers),,
4262.1,species,parjae,Parasitic Jaeger,Stercorarius parasiticus,Charadriiformes,Stercorariidae (Skuas and Jaegers),,
4262.11,slash,y00479,Pomarine/Parasitic Jaeger,Stercorarius pomarinus/parasiticus,Charadriiformes,Stercorariidae (Skuas and Jaegers),,
4262.12,species,lotjae,Long-tailed Jaeger,Stercorarius longicaudus,Charadriiformes,Stercorariidae (Skuas and Jaegers),,
4262.15,slash,y00480,Pomarine/Long-tailed Jaeger,Stercorarius pomarinus/longicaudus,Charadriiformes,Stercorariidae (Skuas and Jaegers),,
4262.16,slash,y00481,Parasitic/Long-tailed Jaeger,Stercorarius parasiticus/longicaudus,Charadriiformes,Stercorariidae (Skuas and Jaegers),,
4262.17,spuh,jaeger,jaeger sp.,Stercorarius sp. (jaeger sp.),Charadriiformes,Stercorariidae (Skuas and Jaegers),,
4262.18,spuh,y00615,jaeger/skua sp.,Stercorarius sp.,Charadriiformes,Stercorariidae (Skuas and Jaegers),,
4262.19,species,doveki,Dovekie,Alle alle,Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",Alcids,
4262.22,species,commur,Common Murre,Uria aalge,Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",,
4262.27,species,thbmur,Thick-billed Murre,Uria lomvia,Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",,
4262.29,hybrid,x00793,Common x Thick-billed Murre (hybrid),Uria aalge x lomvia,Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",,
4262.32,slash,murre,Common/Thick-billed Murre,Uria aalge/lomvia,Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",,
4262.33,species,razorb,Razorbill,Alca torda,Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",,
4262.36,spuh,laralc1,large alcid sp.,Uria/Alca sp.,Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",,
4262.37,species,greauk,Great Auk,Pinguinus impennis,Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",,
4262.38,species,blkgui,Black Guillemot,Cepphus grylle,Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",,
4262.39,issf,blkgui2,Black Guillemot (mandtii),Cepphus grylle mandtii,Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",,blkgui
4262.395,issf,blkgui1,Black Guillemot (grylle Group),Cepphus grylle [grylle Group],Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",,blkgui
4262.44,species,piggui,Pigeon Guillemot,Cepphus columba,Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",,
4262.45,issf,piggui2,Pigeon Guillemot (snowi),Cepphus columba snowi,Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",,piggui
4262.46,issf,piggui1,Pigeon Guillemot (columba Group),Cepphus columba [columba Group],Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",,piggui
4262.51,slash,y00223,Black/Pigeon Guillemot,Cepphus grylle/columba,Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",,
4262.52,species,spegui1,Spectacled Guillemot,Cepphus carbo,Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",,
4262.53,species,lobmur,Long-billed Murrelet,Brachyramphus perdix,Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",,
4262.54,species,marmur,Marbled Murrelet,Brachyramphus marmoratus,Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",,
4262.55,species,kitmur,Kittlitz's Murrelet,Brachyramphus brevirostris,Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",,
4262.56,species,xanmur2,Scripps's Murrelet,Synthliboramphus scrippsi,Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",,
4262.57,species,xanmur1,Guadalupe Murrelet,Synthliboramphus hypoleucus,Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",,
4262.58,slash,xanmur,Scripps's/Guadalupe Murrelet (Xantus's Murrelet),Synthliboramphus scrippsi/hypoleucus,Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",,
4262.59,species,cramur,Craveri's Murrelet,Synthliboramphus craveri,Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",,
4262.595,slash,y00777,Scripps's/Craveri's Murrelet,Synthliboramphus scrippsi/craveri,Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",,
4262.6,slash,y00482,Scripps's/Guadalupe/Craveri's Murrelet,Synthliboramphus scrippsi/hypoleucus/craveri,Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",,
4262.61,species,ancmur,Ancient Murrelet,Synthliboramphus antiquus,Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",,
4262.64,species,japmur1,Japanese Murrelet,Synthliboramphus wumizusume,Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",,
4262.65,spuh,murrel,murrelet sp.,Brachyramphus/Synthliboramphus sp.,Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",,
4262.66,species,casauk,Cassin's Auklet,Ptychoramphus aleuticus,Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",,
4262.69,species,parauk,Parakeet Auklet,Aethia psittacula,Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",,
4262.7,species,leaauk,Least Auklet,Aethia pusilla,Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",,
4262.71,species,whiauk,Whiskered Auklet,Aethia pygmaea,Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",,
4262.72,species,creauk,Crested Auklet,Aethia cristatella,Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",,
4262.73,species,rhiauk,Rhinoceros Auklet,Cerorhinca monocerata,Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",,
4262.74,spuh,auklet,auklet sp.,Ptychoramphus/Aethia sp.,Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",,
4262.75,species,atlpuf,Atlantic Puffin,Fratercula arctica,Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",,
4262.79,species,horpuf,Horned Puffin,Fratercula corniculata,Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",,
4262.8,species,tufpuf,Tufted Puffin,Fratercula cirrhata,Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",,
4262.81,spuh,puffin1,puffin sp.,Fratercula sp.,Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",,
4262.82,spuh,alcid,alcid sp.,Alcidae sp.,Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",,
4263,species,swtgul1,Swallow-tailed Gull,Creagrus furcatus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)","Gulls, Terns, and Skimmers",
4264,species,bklkit,Black-legged Kittiwake,Rissa tridactyla,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,
4265,issf,bklkit1,Black-legged Kittiwake (tridactyla),Rissa tridactyla tridactyla,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,bklkit
4266,issf,bklkit2,Black-legged Kittiwake (pollicaris),Rissa tridactyla pollicaris,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,bklkit
4267,species,relkit,Red-legged Kittiwake,Rissa brevirostris,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,
4267.5,slash,y00697,Black-legged/Red-legged Kittiwake,Rissa tridactyla/brevirostris,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,
4268,species,ivogul,Ivory Gull,Pagophila eburnea,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,
4269,species,sabgul,Sabine's Gull,Xema sabini,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,
4274,species,saugul2,Saunders's Gull,Saundersilarus saundersi,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,
4275,species,slbgul1,Slender-billed Gull,Chroicocephalus genei,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,
4276,species,bongul,Bonaparte's Gull,Chroicocephalus philadelphia,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,
4277,species,andgul1,Andean Gull,Chroicocephalus serranus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,
4278,species,brhgul2,Brown-hooded Gull,Chroicocephalus maculipennis,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,
4278.3,form,bnhgul3,Brown-hooded Gull (White-winged),Chroicocephalus maculipennis (White-winged),Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,brhgul2
4278.6,form,bnhgul2,Brown-hooded Gull (Dark-winged),Chroicocephalus maculipennis (Dark-winged),Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,brhgul2
4279,species,blbgul1,Black-billed Gull,Chroicocephalus bulleri,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,
4280,species,rebgul1,Red-billed Gull,Chroicocephalus scopulinus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,
4281,species,silgul1,Silver Gull,Chroicocephalus novaehollandiae,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,
4284,species,grhgul,Gray-hooded Gull,Chroicocephalus cirrocephalus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,
4287,species,hargul1,Hartlaub's Gull,Chroicocephalus hartlaubii,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,
4287.2,hybrid,x00886,Gray-hooded x Hartlaub's Gull (hybrid),Chroicocephalus cirrocephalus x hartlaubii,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,
4288,species,bkhgul,Black-headed Gull,Chroicocephalus ridibundus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,
4288.5,slash,y00778,Slender-billed/Black-headed Gull,Chroicocephalus genei/ridibundus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,
4290,species,bnhgul1,Brown-headed Gull,Chroicocephalus brunnicephalus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,
4290.5,hybrid,x00734,Slender-billed x Brown-headed Gull (hybrid),Chroicocephalus genei x brunnicephalus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,
4290.8,slash,y00955,Black-headed/Brown-headed Gull,Chroicocephalus ridibundus/brunnicephalus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,
4291,species,litgul,Little Gull,Hydrocoloeus minutus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,
4292,species,rosgul,Ross's Gull,Rhodostethia rosea,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,
4293,species,dolgul2,Dolphin Gull,Leucophaeus scoresbii,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,
4294,species,grygul,Gray Gull,Leucophaeus modestus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,
4295,species,laugul,Laughing Gull,Leucophaeus atricilla,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,
4299,species,fragul,Franklin's Gull,Leucophaeus pipixcan,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,
4299.2,hybrid,x00794,Bonaparte's x Franklin's Gull (hybrid),Chroicocephalus philadelphia x Leucophaeus pipixcan,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,
4299.5,slash,y00685,Laughing/Franklin's Gull,Leucophaeus atricilla/pipixcan,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,
4300,species,lavgul1,Lava Gull,Leucophaeus fuliginosus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,
4301,species,medgul1,Mediterranean Gull,Ichthyaetus melanocephalus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,
4301.5,hybrid,x00695,Black-headed x Mediterranean Gull (hybrid),Chroicocephalus ridibundus x Ichthyaetus melanocephalus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,
4301.7,slash,y00779,Black-headed/Mediterranean Gull,Chroicocephalus ridibundus/Ichthyaetus melanocephalus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,
4302,species,relgul2,Relict Gull,Ichthyaetus relictus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,
4303,species,whegul2,White-eyed Gull,Ichthyaetus leucophthalmus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,
4304,species,soogul2,Sooty Gull,Ichthyaetus hemprichii,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,
4305,species,gbhgul2,Pallas's Gull,Ichthyaetus ichthyaetus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,
4306,species,audgul1,Audouin's Gull,Ichthyaetus audouinii,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,
4307,species,belgul,Belcher's Gull,Larus belcheri,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,
4308,species,olrgul1,Olrog's Gull,Larus atlanticus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,
4309,species,bktgul,Black-tailed Gull,Larus crassirostris,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,
4310,species,pacgul1,Pacific Gull,Larus pacificus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,
4313,species,heegul,Heermann's Gull,Larus heermanni,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,
4314,species,mewgul,Mew Gull,Larus canus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,
4315,issf,comgul1,Mew Gull (European),Larus canus canus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,mewgul
4316,issf,mewgul3,Mew Gull (Russian),Larus canus heinei,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,mewgul
4317,issf,kamgul1,Mew Gull (Kamchatka),Larus canus kamtschatschensis,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,mewgul
4318,issf,mewgul2,Mew Gull (American),Larus canus brachyrhynchus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,mewgul
4318.5,hybrid,x00847,Mediterranean x Mew Gull (hybrid),Ichthyaetus melanocephalus x Larus canus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,
4319,species,ribgul,Ring-billed Gull,Larus delawarensis,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,
4319.3,hybrid,x00641,Black-headed x Ring-billed Gull (hybrid),Chroicocephalus ridibundus x Larus delawarensis,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,
4319.6,hybrid,x00616,Laughing x Ring-billed Gull (hybrid),Leucophaeus atricilla x Larus delawarensis,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,
4319.8,hybrid,x00795,Franklin's x Ring-billed Gull (hybrid),Leucophaeus pipixcan x Larus delawarensis,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,
4320,species,wesgul,Western Gull,Larus occidentalis,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,
4324,species,yefgul,Yellow-footed Gull,Larus livens,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,
4324.5,slash,y00683,Western/Yellow-footed Gull,Larus occidentalis/livens,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,
4325,species,calgul,California Gull,Larus californicus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,
4326,issf,calgul1,California Gull (californicus),Larus californicus californicus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,calgul
4327,issf,calgul2,California Gull (albertaensis),Larus californicus albertaensis,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,calgul
4328,species,hergul,Herring Gull,Larus argentatus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,
4329,issf,amhgul1,Herring Gull (American),Larus argentatus smithsonianus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,hergul
4330,issf,veggul1,Herring Gull (Vega),Larus argentatus vegae,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,hergul
4330.5,issf,casgul4,Herring Gull (Mongolian),Larus argentatus mongolicus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,hergul
4331,issf,euhgul1,Herring Gull (European),Larus argentatus argentatus/argenteus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,hergul
4331.2,hybrid,x00796,Ring-billed x Herring Gull (hybrid),Larus delawarensis x argentatus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,
4331.4,hybrid,x00797,California x Herring Gull (hybrid),Larus californicus x argentatus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,
4341,species,yelgul1,Yellow-legged Gull,Larus michahellis,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,
4342,issf,yelgul2,Yellow-legged Gull (atlantis),Larus michahellis atlantis,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,yelgul1
4343,issf,yelgul3,Yellow-legged Gull (michahellis),Larus michahellis michahellis,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,yelgul1
4343.2,slash,y00848,Herring/Yellow-legged Gull,Larus argentatus/michahellis,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,
4345,species,casgul2,Caspian Gull,Larus cachinnans,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,
4347.5,slash,y00724,Yellow-legged/Caspian Gull,Larus michahellis/cachinnans,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,
4348,species,armgul1,Armenian Gull,Larus armenicus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,
4348.5,slash,y00725,Yellow-legged/Caspian/Armenian Gull,Larus michahellis/cachinnans/armenicus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,
4348.7,species,y00478,Iceland Gull,Larus glaucoides,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,
4349,issf,thagul,Iceland Gull (Thayer's),Larus glaucoides thayeri,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,y00478
4349.5,form,icegul,Iceland Gull (Iceland),Larus glaucoides glaucoides/kumlieni,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,y00478
4352,issf,kumgul1,Iceland Gull (kumlieni),Larus glaucoides kumlieni,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,y00478
4353,issf,icegul1,Iceland Gull (glaucoides),Larus glaucoides glaucoides,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,y00478
4353.5,intergrade,x00435,Iceland Gull (Thayer's x Iceland),Larus glaucoides thayeri x glaucoides/kumlieni,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,y00478
4354,hybrid,x00617,Herring x Iceland Gull (hybrid),Larus argentatus x glaucoides,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,
4354.5,slash,y00682,Herring/Iceland Gull,Larus argentatus/glaucoides,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,
4355,species,lbbgul,Lesser Black-backed Gull,Larus fuscus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,
4356,issf,lbbgul1,Lesser Black-backed Gull (fuscus),Larus fuscus fuscus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,lbbgul
4357,issf,lbbgul2,Lesser Black-backed Gull (intermedius),Larus fuscus intermedius,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,lbbgul
4358,issf,lbbgul3,Lesser Black-backed Gull (graellsii),Larus fuscus graellsii,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,lbbgul
4359,issf,lbbgul4,Lesser Black-backed Gull (Heuglin's),Larus fuscus heuglini,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,lbbgul
4359.3,issf,casgul3,Lesser Black-backed Gull (Steppe),Larus fuscus barabensis,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,lbbgul
4359.5,form,lbbgul5,Lesser Black-backed Gull (taimyrensis),Larus fuscus taimyrensis,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,lbbgul
4359.7,hybrid,x00057,Herring x Lesser Black-backed Gull (hybrid),Larus argentatus x fuscus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,
